llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100,baseline_position_metric@1,baseline_position_metric@5,baseline_position_metric@10,baseline_position_metric@25,baseline_position_metric@50,baseline_position_metric@100,reranked_position_metric@1,reranked_position_metric@5,reranked_position_metric@10,reranked_position_metric@25,reranked_position_metric@50,reranked_position_metric@100
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.975609756097561,0.9939024390243902,0.9939024390243902,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.975609756097561,0.9902439024390243,0.9920731707317072,0.9939024390243902,0.9969512195121951,0.9984756097560976
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.8963414634146342,0.975609756097561,0.9878048780487805,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.8963414634146342,0.9475609756097562,0.9652439024390242,0.9814634146341465,0.9907317073170732,0.9953658536585365
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.7012195121951219,0.8841463414634146,0.9024390243902439,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5426829268292683,0.6792682926829265,0.7487804878048782,0.831951219512195,0.8923170731707317,0.9368292682926826,0.7012195121951219,0.821951219512195,0.8603658536585367,0.8970731707317076,0.9248780487804873,0.9531097560975612
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.3597560975609756,0.4634146341463415,0.4817073170731707,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.18902439024390244,0.2792682926829268,0.33597560975609764,0.4192682926829269,0.5020731707317072,0.5885365853658535,0.3597560975609756,0.4317073170731706,0.4554878048780488,0.4814634146341462,0.5331707317073172,0.6040853658536584
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9939024390243902,0.9939024390243902,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219513,0.9997560975609755,0.9998780487804879,0.9878048780487805,0.9926829268292684,0.9932926829268293,0.9951219512195123,0.9975609756097561,0.9987804878048782
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.9207317073170732,1.0,1.0,1.0,1.0,1.0,0.8902439024390244,0.975609756097561,0.9878048780487805,1.0,1.0,1.0,0.9207317073170732,0.976829268292683,0.9884146341463416,0.9953658536585367,0.9976829268292682,0.9988414634146342,0.8902439024390244,0.9512195121951219,0.9670731707317076,0.9817073170731706,0.9908536585365854,0.9954268292682927
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.5304878048780488,0.7621951219512195,0.8170731707317073,0.9024390243902439,0.9634146341463414,1.0,0.7073170731707317,0.8658536585365854,0.8902439024390244,0.9024390243902439,0.9634146341463414,1.0,0.5304878048780488,0.6707317073170731,0.728658536585366,0.8129268292682925,0.8787804878048777,0.9292073170731708,0.7073170731707317,0.8085365853658535,0.8432926829268297,0.8765853658536586,0.9106097560975605,0.9451219512195124
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.21341463414634146,0.3597560975609756,0.45121951219512196,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.42073170731707316,0.524390243902439,0.5487804878048781,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.21341463414634146,0.29756097560975614,0.3628048780487804,0.4553658536585369,0.5270731707317071,0.600792682926829,0.42073170731707316,0.47926829268292687,0.5115853658536588,0.5417073170731705,0.5702439024390243,0.6223780487804876
