llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.946,0.996,0.998,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.688,0.87,0.914,0.952,0.966,0.982
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.7,0.884,0.914,0.952,0.966,0.982
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.702,0.892,0.932,0.952,0.966,0.982
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.608,0.802,0.854,0.91,0.94,0.964
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.63,0.808,0.854,0.91,0.94,0.964
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.634,0.834,0.866,0.91,0.94,0.964
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.296,0.398,0.49,0.584,0.688,0.8
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,10,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.33,0.46,0.49,0.584,0.688,0.8
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.368,0.51,0.55,0.584,0.688,0.8
