llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,pseudocode_recall@1,pseudocode_recall@5,pseudocode_recall@10,pseudocode_recall@25,pseudocode_recall@50,pseudocode_recall@100,combined_recall@1,combined_recall@5,combined_recall@10,combined_recall@25,combined_recall@50,combined_recall@100
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9329268292682927,0.9817073170731707,0.9817073170731707,0.9939024390243902,0.9939024390243902,1.0,0.9695121951219512,0.9939024390243902,0.9939024390243902,0.9939024390243902,0.9939024390243902,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9146341463414634,0.9817073170731707,0.9817073170731707,0.9878048780487805,0.9939024390243902,1.0,0.9390243902439024,0.9817073170731707,0.9878048780487805,0.9878048780487805,0.9939024390243902,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.8414634146341463,0.9390243902439024,0.9512195121951219,0.9634146341463414,0.9817073170731707,0.9878048780487805,0.8414634146341463,0.9329268292682927,0.9573170731707317,0.9634146341463414,0.9817073170731707,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5548780487804879,0.774390243902439,0.8292682926829268,0.9085365853658537,0.9390243902439024,0.975609756097561,0.6707317073170732,0.8536585365853658,0.8963414634146342,0.9085365853658537,0.9390243902439024,0.975609756097561
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.18902439024390244,0.34146341463414637,0.40853658536585363,0.5548780487804879,0.6890243902439024,0.774390243902439,0.31097560975609756,0.47560975609756095,0.524390243902439,0.5548780487804879,0.6890243902439024,0.774390243902439
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9207317073170732,0.975609756097561,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9878048780487805,0.9451219512195121,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9146341463414634,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9939024390243902,0.9390243902439024,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9939024390243902
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.9207317073170732,1.0,1.0,1.0,1.0,1.0,0.8170731707317073,0.926829268292683,0.9512195121951219,0.975609756097561,0.975609756097561,0.9817073170731707,0.8475609756097561,0.9329268292682927,0.9634146341463414,0.975609756097561,0.975609756097561,0.9817073170731707
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.5304878048780488,0.7621951219512195,0.8170731707317073,0.9024390243902439,0.9634146341463414,1.0,0.5060975609756098,0.7621951219512195,0.8353658536585366,0.926829268292683,0.9390243902439024,0.9634146341463414,0.6829268292682927,0.8841463414634146,0.9207317073170732,0.926829268292683,0.9390243902439024,0.9634146341463414
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.21341463414634146,0.3597560975609756,0.45121951219512196,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.16463414634146342,0.3597560975609756,0.4634146341463415,0.5914634146341463,0.6890243902439024,0.7439024390243902,0.3170731707317073,0.4878048780487805,0.5609756097560976,0.5914634146341463,0.6890243902439024,0.7439024390243902
